Station	Day	Month	Year	Lat	Long	Gear	Start.Depth	End.Depth	Family	Genus	Species	M.F	Life.Stage	Time.of.Day.	Parent.Jar	Expedition
708930	17	11	1969	17.9017	-25.4483	RMT1	50	20	Eupausiidae	NA	NA	NA	NA	Day	No	Late_Discovery
1037633	29	5	1981	33.1533	-33.4783	RMT8	NA	NA	Eupausiidae	NA	NA	F	NA	NA	No	Late_Discovery
666209	15	2	1968	10.9967	-19.85	TMT85	995	0	Eupausiidae	Bentheuphausia	NA	NA	NA	NA	No	Late_Discovery
6173	10	11	1966	NA	NA	EMT	240	NA	Eupausiidae	NA	NA	NA	NA	NA	No	NA
6183	16	11	1966	NA	NA	N113H	85	50	Eupausiidae	NA	NA	NA	NA	NA	No	NA
2865	22	7	1951	-43.86666667	9.733333333	N100B	NA	NA	Eupausiidae	NA	NA	NA	NA	NA	No	Early_Discovery
2759	22	11	1950	-62.2	-172.2	N100B	121	0	Eupausiidae	NA	NA	NA	Juvenile	NA	Yes	Early_Discovery
6121	18	10	1966	NA	NA	EMT	NA	NA	Eupausiidae	NA	NA	NA	NA	NA	No	NA
2741	15	11	1950	-57.36666667	-150.9333333	N100B	155	0	Eupausiidae	Euphasuia	Euphausia superba	NA	NA	NA	No	Early_Discovery
5825	20	11	1965	NA	NA	N113H	475	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
2743	16	11	1950	-59.58333333	150.8	N100H	0	0	Eupausiidae	NA	NA	NA	Larvae	NA	No	Early_Discovery
785651	5	4	1972	30.2267	-23.0317	RMT1	1500	1250	NA	NA	NA	NA	NA	Day	Yes	Late_Discovery
850763	8	4	1974	44.0083	-12.87	RMT1	400	300	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
850828	15	4	1974	44.1467	-12.9017	RMT1	500	400	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
2752	20	11	1950	-59.15	-162	N100B	67	0	Eupausiidae	NA	NA	NA	Juvenile	NA	No	Early_Discovery
666231	19	2	1968	10.775	-19.8833	N113	1570	0	Eupausiidae	Bentheuphausia	Bentheuphausia amblyops	NA	NA	NA	No	Late_Discovery
3675	NA	NA	NA	NA	NA	1KMT	780	0	Eupausiidae	Nematobrachion	Nematobrachion flexipes	M	NA	NA	Yes	NA
1541	26	2	1935	-64.44333333	39.295	N100B	86	0	Eupausiidae	Euphasuia	Euphausia superba	M	Adult	NA	No	Early_Discovery
740640	9	10	1970	40.0433	-20.0583	RMT8	775	630	Eupausiidae	NA	NA	NA	NA	Night	No	Late_Discovery
850877	20	4	1974	44.0467	-12.955	RMT8	975	610	NA	NA	NA	NA	NA	Day	No	Late_Discovery
706401	27	10	1969	19.9717	-23.5267	RMT8B	1000	0	NA	NA	NA	NA	NA	NA	No	Late_Discovery
4241	NA	NA	NA	NA	NA	1KMT	900	0	NA	NA	NA	NA	NA	NA	No	NA
4731	NA	NA	NA	NA	NA	1KMT	40	0	NA	NA	NA	NA	NA	NA	No	NA
4735	NA	NA	NA	NA	NA	1KMT	240	1000	NA	NA	NA	NA	NA	NA	No	NA
4735	NA	NA	NA	NA	NA	1KMT	100	65	NA	NA	NA	NA	NA	NA	No	NA
4925	NA	NA	NA	NA	NA	1KMT	520	0	NA	NA	NA	NA	NA	NA	No	NA
4764	NA	NA	NA	NA	NA	1KMT	1500	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4944	NA	NA	NA	NA	NA	1KMT	700	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4764	NA	NA	NA	NA	NA	1KMT	200	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
4956	NA	NA	NA	NA	NA	1KMT	85	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
